"","ticker","zero column","date","time","open","high","low","close","vol","second zero column"
"941270","ORANGEPL",0,20200922,111049,7.14,7.145,7.14,7.145,1485,0
"941271","ORANGEPL",0,20200922,111127,7.145,7.15,7.145,7.15,2324,0
"941272","ORANGEPL",0,20200922,111131,7.13,7.13,7.13,7.13,737,0
"941273","ORANGEPL",0,20200922,111153,7.15,7.15,7.15,7.15,1484,0
"941274","ORANGEPL",0,20200922,111221,7.13,7.13,7.13,7.13,130,0
"941275","ORANGEPL",0,20200922,111312,7.15,7.15,7.15,7.15,1485,0
"941276","ORANGEPL",0,20200922,111403,7.15,7.15,7.15,7.15,2022,0
"941277","ORANGEPL",0,20200922,111554,7.15,7.15,7.15,7.15,270,0
"941278","ORANGEPL",0,20200922,111602,7.15,7.15,7.15,7.15,2049,0
"941279","ORANGEPL",0,20200922,111603,7.145,7.145,7.145,7.145,3060,0
"941280","ORANGEPL",0,20200922,111606,7.145,7.145,7.145,7.145,135,0
"941281","ORANGEPL",0,20200922,111703,7.145,7.15,7.145,7.15,3271,0
"941282","ORANGEPL",0,20200922,111706,7.14,7.14,7.14,7.14,248,0
"941283","ORANGEPL",0,20200922,111801,7.15,7.15,7.15,7.15,547,0
"941284","ORANGEPL",0,20200922,111816,7.15,7.16,7.15,7.16,52898,0
"941285","ORANGEPL",0,20200922,111817,7.17,7.17,7.155,7.17,5902,0
"941286","ORANGEPL",0,20200922,111818,7.175,7.175,7.175,7.175,5176,0
"941287","ORANGEPL",0,20200922,111819,7.155,7.155,7.155,7.155,10826,0
"941288","ORANGEPL",0,20200922,111820,7.155,7.155,7.155,7.155,61,0
"941289","ORANGEPL",0,20200922,111821,7.18,7.18,7.18,7.18,1768,0
"941290","ORANGEPL",0,20200922,111822,7.18,7.18,7.18,7.18,225,0
"941291","ORANGEPL",0,20200922,111824,7.155,7.155,7.155,7.155,537,0
"941292","ORANGEPL",0,20200922,111826,7.18,7.18,7.155,7.155,8312,0
"941293","ORANGEPL",0,20200922,111842,7.18,7.18,7.18,7.18,10,0
"941294","ORANGEPL",0,20200922,112043,7.165,7.165,7.165,7.165,567,0
"941295","ORANGEPL",0,20200922,112125,7.165,7.165,7.165,7.165,100,0
"941296","ORANGEPL",0,20200922,112139,7.18,7.18,7.18,7.18,10,0
"941297","ORANGEPL",0,20200922,112203,7.18,7.18,7.18,7.18,1349,0
"941298","ORANGEPL",0,20200922,112204,7.18,7.18,7.18,7.18,135,0
"941299","ORANGEPL",0,20200922,112231,7.18,7.18,7.18,7.18,1204,0
"941300","ORANGEPL",0,20200922,112303,7.18,7.18,7.18,7.18,405,0
"941301","ORANGEPL",0,20200922,112339,7.17,7.17,7.17,7.17,1000,0
"941302","ORANGEPL",0,20200922,112403,7.18,7.18,7.18,7.18,1485,0
"941303","ORANGEPL",0,20200922,112404,7.18,7.18,7.18,7.18,1079,0
"941304","ORANGEPL",0,20200922,112523,7.18,7.18,7.18,7.18,5150,0
